Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km)
STARLINK-1222,2026-06-08T18:08:36Z,81254.960183801,2.664348754376239,40.000794536955866,813.4736839977065
STARLINK-1222,2026-06-08T18:08:37Z,79165.94354292839,3.278949106034996,40.148072281638036,811.3947692486888
STARLINK-1222,2026-06-08T18:08:38Z,77060.91446906852,3.899294479470691,40.29246334788912,809.3702052991177
STARLINK-1222,2026-06-08T18:08:39Z,74940.14216360648,4.525322306954665,40.4338717853198,807.400403905415
STARLINK-1222,2026-06-08T18:08:40Z,72803.90964448583,5.15696358707018,40.57220183868873,805.4857694356432
STARLINK-1222,2026-06-08T18:08:41Z,70652.51403834455,5.794142672885214,40.707358080787564,803.6266987907833
STARLINK-1222,2026-06-08T18:08:42Z,68486.26643069697,6.436777195955501,40.839245577939515,801.8235809404299
STARLINK-1222,2026-06-08T18:08:43Z,66305.49194402342,7.084777929459419,40.96777004505004,800.0767966687961
STARLINK-1222,2026-06-08T18:08:44Z,64110.52945744651,7.738048765094427,41.09283802393617,798.3867180634885
STARLINK-1222,2026-06-08T18:08:45Z,61901.73176881321,8.396486567144512,41.21435703953173,796.7537083605297
STARLINK-1222,2026-06-08T18:08:46Z,59679.46518150544,9.059981206932267,41.33223578928399,795.1781213890921
STARLINK-1222,2026-06-08T18:08:47Z,57444.10952024404,9.728415480183367,41.44638431093371,793.6603013518154
STARLINK-1222,2026-06-08T18:08:48Z,55196.057874263046,10.401665116826083,41.556714165680916,792.2005824334401
STARLINK-1222,2026-06-08T18:08:49Z,52935.71632471492,11.079598807873666,41.66313862176973,790.799288433668
STARLINK-1222,2026-06-08T18:08:50Z,50663.50378509976,11.762078211557862,41.765572832921656,789.4567324886518
STARLINK-1222,2026-06-08T18:08:51Z,48379.85165519459,12.448958029074358,41.86393402429673,788.1732167054902
STARLINK-1222,2026-06-08T18:08:52Z,46085.203541748815,13.140086074930151,41.95814167405295,786.9490318589554
STARLINK-1222,2026-06-08T18:08:53Z,43780.014853279004,13.835303400257695,42.04811769750466,785.7844570496707
STARLINK-1222,2026-06-08T18:08:54Z,41464.752543752875,14.534444387058874,42.13378662311079,784.6797594546764
STARLINK-1222,2026-06-08T18:08:55Z,39139.89458728625,15.237336939486504,42.21507577453717,783.6351939763522
STARLINK-1222,2026-06-08T18:08:56Z,36805.92969945872,15.943802617279541,42.29191544012801,782.6510030216873
STARLINK-1222,2026-06-08T18:08:57Z,34463.35669148611,16.653656896539733,42.364239048887,781.7274161562133
STARLINK-1222,2026-06-08T18:08:58Z,32112.68420542638,17.366709332197125,42.431983329450105,780.8646499250609
STARLINK-1222,2026-06-08T18:08:59Z,29754.430081948616,18.08276384799615,42.495088473373045,780.0629075581054
STARLINK-1222,2026-06-08T18:09:00Z,27389.12086745981,18.801619000840592,42.553498287124576,779.3223787498351
