Satellite,Rise Events,Peak Events,Set Events
STARLINK-1222,1,1,1
STARLINK-1226,1,1,1
STARLINK-1542,1,0,0
STARLINK-1578,1,1,1
STARLINK-2547,1,0,0
STARLINK-2535,0,0,1
STARLINK-2506,1,0,0
STARLINK-2457,1,1,1
STARLINK-2628,1,1,1
STARLINK-2622,1,1,1
STARLINK-2568,0,0,1
STARLINK-2740,1,0,0
STARLINK-3083,1,1,1
STARLINK-3056,1,1,1
STARLINK-3095,1,1,0
STARLINK-3086,1,1,0
STARLINK-3602,0,0,1
STARLINK-3577,1,1,0
STARLINK-3547,1,0,0
STARLINK-3587,1,1,1
STARLINK-3709,0,1,1
STARLINK-3658,1,1,1
STARLINK-3558,1,1,1
STARLINK-4217,1,0,0
STARLINK-4253,0,0,1
STARLINK-4281,0,1,1
STARLINK-4279,0,0,1
STARLINK-4157,1,1,1
STARLINK-4155,1,1,1
STARLINK-4329,20,17,21
STARLINK-4093,11,11,12
STARLINK-4123,1,1,1
STARLINK-4485,1,1,1
STARLINK-5242,1,1,0
STARLINK-5164,1,1,1
STARLINK-5228,0,0,1
STARLINK-5250,1,1,1
STARLINK-4643,1,0,0
STARLINK-5405,1,1,1
STARLINK-5401,1,1,1
STARLINK-5323,182,25,181
STARLINK-5896,1,1,1
STARLINK-5927,1,1,1
STARLINK-5857,1,1,1
STARLINK-6084,1,1,1
STARLINK-6092,1,1,1
STARLINK-6115,0,0,1
STARLINK-6124,1,1,1
STARLINK-5564,1,1,1
STARLINK-5111,1,1,1
STARLINK-5839,0,1,1
STARLINK-6155,1,1,1
STARLINK-6243,1,1,1
STARLINK-6254,1,1,1
STARLINK-30200,1,1,1
STARLINK-30262,93,27,93
STARLINK-30263,1,1,1
STARLINK-30280,1,1,1
STARLINK-30247,1,1,1
STARLINK-30345,1,1,1
STARLINK-30346,1,1,1
STARLINK-30327,0,0,1
STARLINK-30315,0,1,1
STARLINK-30341,1,1,0
STARLINK-30758,1,1,1
STARLINK-30776,1,1,1
STARLINK-30778,1,0,0
STARLINK-30911,1,0,0
STARLINK-30939,1,1,1
STARLINK-30950,96,38,96
STARLINK-30968,1,1,1
STARLINK-31009,1,0,0
STARLINK-31163,1,1,1
STARLINK-31217,27,79,27
STARLINK-31505,1,1,1
STARLINK-31303,1,1,1
STARLINK-31474,66,33,67
STARLINK-31599,167,20,167
STARLINK-31596,2,2,2
STARLINK-31583,224,147,224
STARLINK-31734,21,48,22
STARLINK-31974,1,1,1
STARLINK-31975,1,1,1
STARLINK-31998,2,2,1
STARLINK-11226,1,1,1
STARLINK-32378,1,1,1
STARLINK-32445,1,1,1
STARLINK-32348,1,0,0
STARLINK-32355,1,1,1
STARLINK-32337,1,1,0
STARLINK-32449,1,1,1
STARLINK-32443,1,1,1
STARLINK-32326,0,1,1
STARLINK-32323,0,0,1
STARLINK-32469,1,1,1
STARLINK-32442,1,1,0
STARLINK-32362,703,330,702
STARLINK-32352,321,113,321
STARLINK-32427,82,30,83
STARLINK-32346,94,7,94
STARLINK-32379,27,2,27
STARLINK-11410,1,1,1
STARLINK-11424,1,1,2
STARLINK-32452,0,1,1
STARLINK-32578,1,1,0
STARLINK-32408,1,1,1
STARLINK-33566,82,60,82
STARLINK-32470,1,1,1
STARLINK-32521,1,1,1
STARLINK-32608,1,1,0
STARLINK-32568,1,1,1
STARLINK-32507,1,1,1
STARLINK-32464,1,1,1
STARLINK-32629,1,1,1
STARLINK-32602,0,0,1
STARLINK-32802,1,0,0
STARLINK-32796,1,0,0
STARLINK-32775,1,1,1
STARLINK-32758,1,1,1
STARLINK-32765,1,1,1
STARLINK-32762,1,1,1
STARLINK-32898,0,0,1
STARLINK-32437,1,1,1
STARLINK-33623,1,1,1
STARLINK-33578,1,1,1
STARLINK-33703,2,1,3
STARLINK-33686,4,0,5
STARLINK-33615,588,592,588
STARLINK-33710,1,0,0
STARLINK-33736,1,0,0
STARLINK-33828,546,279,545
STARLINK-33792,1,0,0
STARLINK-11669,2,2,2
STARLINK-11666,6,4,6
STARLINK-11663,2,1,2
STARLINK-33887,107,88,107
STARLINK-33914,8,5,8
STARLINK-33911,323,19,323
STARLINK-33933,121,12,121
STARLINK-34109,1,1,1
STARLINK-34095,77,6,77
STARLINK-34127,39,8,39
STARLINK-34110,116,111,116
STARLINK-34101,32,24,31
STARLINK-34060,4,5,4
STARLINK-34048,1,1,1
STARLINK-34047,5,5,6
STARLINK-34056,11,0,10
STARLINK-34011,121,0,122
STARLINK-34010,95,26,95
STARLINK-34032,76,0,77
STARLINK-33972,1,1,1
STARLINK-33957,1,1,1
STARLINK-33955,0,1,1
STARLINK-34092,1,0,0
STARLINK-34070,1,1,1
STARLINK-34068,0,1,1
STARLINK-34159,1,1,1
STARLINK-33960,1,1,1
STARLINK-34153,1,1,1
STARLINK-33871,476,333,476
STARLINK-33927,15,15,15
STARLINK-33758,545,386,544
STARLINK-34113,130,94,130
STARLINK-34093,523,320,523
STARLINK-34161,240,148,240
STARLINK-34062,331,216,330
STARLINK-34201,1,1,1
STARLINK-34098,24,6,24
STARLINK-34157,99,17,99
