Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours),Timestamp
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:39.499111,-221987.27885451552,32.110076599405616,28.49327197577386,996.3500385210568,14.657152615555557,2026-06-12 20:49:39.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:40.499111,-222635.1029420473,31.843893662859,28.46748128960404,1002.1079199776784,14.657152615555557,2026-06-12 20:49:40.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:41.499111,-223271.5742624176,31.58040086374502,28.442186300032127,1007.8824325499842,14.657152615555557,2026-06-12 20:49:41.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:42.499111,-223896.91763431104,31.319560019695174,28.41737439992261,1013.673285123038,14.657152615555557,2026-06-12 20:49:42.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:43.499111,-224511.3532976088,31.06133346297368,28.393033407302,1019.4801923450132,14.657152615555557,2026-06-12 20:49:43.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:44.499111,-225115.09698549943,30.805684039352467,28.369151547646645,1025.3028745097756,14.657152615555557,2026-06-12 20:49:44.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:45.499111,-225708.35999732217,30.552575106552435,28.345717436965067,1031.1410574412546,14.657152615555557,2026-06-12 20:49:45.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:46.499111,-226291.3492719058,30.30197053229477,28.322720065797085,1036.9944723793303,14.657152615555557,2026-06-12 20:49:46.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:47.499111,-226864.26746134597,30.05383469196561,28.30014878391125,1042.8628558678363,14.657152615555557,2026-06-12 20:49:47.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:48.499111,-227427.31300503775,29.808132465922498,28.277993285821427,1048.7459496447786,14.657152615555557,2026-06-12 20:49:48.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:49.499111,-227980.6802037586,29.56482923651225,28.25624359694336,1054.6435005337073,14.657152615555557,2026-06-12 20:49:49.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:50.499111,-228524.55929385105,29.323890884744028,28.23489006043611,1060.555260338164,14.657152615555557,2026-06-12 20:49:50.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:51.499111,-229059.1365211327,29.08528378675606,28.21392332466572,1066.48098573653,14.657152615555557,2026-06-12 20:49:51.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:52.499111,-229584.59421471588,28.848974809973885,28.193334331236095,1072.4204381802706,14.657152615555557,2026-06-12 20:49:52.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:53.499111,-230101.11086043456,28.614931309067448,28.173114303630328,1078.3733837934524,14.657152615555557,2026-06-12 20:49:53.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:54.499111,-230608.8611738197,28.38312112172809,28.15325473628558,1084.339593273478,14.657152615555557,2026-06-12 20:49:54.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:55.499111,-231108.0161726861,28.153512564198888,28.13374738428619,1090.3188417952565,14.657152615555557,2026-06-12 20:49:55.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:56.499111,-231598.74324903951,27.92607442669888,28.1145842534278,1096.3109089156226,14.657152615555557,2026-06-12 20:49:56.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:57.499111,-232081.20624046435,27.700775968638474,28.095757590781737,1102.3155784810365,14.657152615555557,2026-06-12 20:49:57.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:58.499111,-232555.56550070556,27.477586913754923,28.07725987564772,1108.3326385357227,14.657152615555557,2026-06-12 20:49:58.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:49:59.499111,-233021.9779696148,27.25647744507324,28.05908381096541,1114.361881232944,14.657152615555557,2026-06-12 20:49:59.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:00.499111,-233480.59724223983,27.03741819979723,28.041222315030904,1120.4031027471524,14.657152615555557,2026-06-12 20:50:00.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:01.499111,-233931.57363710232,26.820380264089053,28.02366851365544,1126.4561031883495,14.657152615555557,2026-06-12 20:50:01.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:02.499111,-234375.0542636061,26.6053351677775,28.006415732577143,1132.520686517896,14.657152615555557,2026-06-12 20:50:02.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:03.499111,-234811.18308857584,26.39225487896584,27.98945749033192,1138.596660466918,14.657152615555557,2026-06-12 20:50:03.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:04.499111,-235240.10100178656,26.18111179863912,27.97278749123959,1144.6838364547789,14.657152615555557,2026-06-12 20:50:04.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:05.499111,-235661.94588063227,25.97187875515651,27.95639961887895,1150.7820295110355,14.657152615555557,2026-06-12 20:50:05.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:06.499111,-236076.8526537504,25.764528998749043,27.940287929732374,1156.8910581978475,14.657152615555557,2026-06-12 20:50:06.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:07.499111,-236484.95336368648,25.559036195964605,27.9244466471445,1163.0107445345432,14.657152615555557,2026-06-12 20:50:07.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:08.499111,-236886.3772285453,25.35537442410303,27.90887015544346,1169.1409139234877,14.657152615555557,2026-06-12 20:50:08.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:09.499111,-237281.25070262892,25.153518165614077,27.893552994485542,1175.2813950781358,14.657152615555557,2026-06-12 20:50:09.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:10.499111,-237669.6975360356,24.953442302515956,27.87848985420444,1181.432019951835,14.657152615555557,2026-06-12 20:50:10.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:11.499111,-238051.83883322857,24.755122110792133,27.863675569560687,1187.5926236686994,14.657152615555557,2026-06-12 20:50:11.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:12.499111,-238427.79311056505,24.558533254802263,27.849105115609184,1193.7630444557576,14.657152615555557,2026-06-12 20:50:12.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:13.499111,-238797.6763527929,24.36365178170005,27.834773602768635,1199.943123576622,14.657152615555557,2026-06-12 20:50:13.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:14.499111,-239161.6020685083,24.17045411585983,27.82067627232494,1206.1327052668692,14.657152615555557,2026-06-12 20:50:14.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:15.499111,-239519.68134456765,23.978917053332243,27.806808492071603,1212.331636670556,14.657152615555557,2026-06-12 20:50:15.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:16.499111,-239872.02289943877,23.789017756336865,27.793165752128004,1218.5397677777628,14.657152615555557,2026-06-12 20:50:16.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:17.499111,-240218.7331355915,23.600733747745505,27.77974366093856,1224.7569513646758,14.657152615555557,2026-06-12 20:50:17.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:18.499111,-240559.9161907653,23.41404290564819,27.766537941433743,1230.9830429335211,14.657152615555557,2026-06-12 20:50:18.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:19.499111,-240895.67398830352,23.22892345791632,27.753544427295378,1237.217900654959,14.657152615555557,2026-06-12 20:50:19.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:20.499111,-241226.106286457,23.045353976807554,27.740759059427717,1243.4613853117903,14.657152615555557,2026-06-12 20:50:20.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:21.499111,-241551.3107266051,22.863313373664774,27.72817788251085,1249.71336024221,14.657152615555557,2026-06-12 20:50:21.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:22.499111,-241871.3828806428,22.6827808935675,27.715797041736177,1255.9736912873752,14.657152615555557,2026-06-12 20:50:22.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:23.499111,-242186.41629720232,22.503736110141848,27.70361277957624,1262.242246736442,14.657152615555557,2026-06-12 20:50:23.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:24.499111,-242496.50254708537,22.326158920305858,27.69162143282291,1268.5188972767048,14.657152615555557,2026-06-12 20:50:24.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:25.499111,-242801.7312675812,22.150029539171086,27.679819429564347,1274.8035159413078,14.657152615555557,2026-06-12 20:50:25.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:26.499111,-243102.1902059485,21.9753284949218,27.66820328641628,1281.095978060751,14.657152615555557,2026-06-12 20:50:26.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:27.499111,-243397.9652619124,21.80203662378941,27.65676960576828,1287.396161214026,14.657152615555557,2026-06-12 20:50:27.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:28.499111,-243689.1405292736,21.630135065057413,27.645515073195558,1293.7039451818891,14.657152615555557,2026-06-12 20:50:28.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:29.499111,-243975.7983365513,21.45960525617008,27.63443645488072,1300.019211899448,14.657152615555557,2026-06-12 20:50:29.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:30.499111,-244258.01928683044,21.290428927833627,27.62353059522558,1306.3418454122354,14.657152615555557,2026-06-12 20:50:30.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:31.499111,-244535.8822966492,21.12258809923468,27.61279441446683,1312.6717318312328,14.657152615555557,2026-06-12 20:50:31.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:32.499111,-244809.46463407463,20.956065073283245,27.6022249064438,1319.0087592901796,14.657152615555557,2026-06-12 20:50:32.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:33.499111,-245078.84195589068,20.79084243194848,27.591819136376916,1325.35281790268,14.657152615555557,2026-06-12 20:50:33.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:34.499111,-245344.0883440056,20.626903031613768,27.581574238817392,1331.7037997219454,14.657152615555557,2026-06-12 20:50:34.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:35.499111,-245605.2763409805,20.46422999854612,27.57148741555888,1338.0615986993791,14.657152615555557,2026-06-12 20:50:35.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:36.499111,-245862.47698481573,20.30280672437894,27.561555933702973,1344.426110646049,14.657152615555557,2026-06-12 20:50:36.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:37.499111,-246115.7598428965,20.142616861697725,27.55177712375528,1350.7972331934575,14.657152615555557,2026-06-12 20:50:37.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:38.499111,-246365.1930452064,19.98364431965855,27.54214837781263,1357.1748657563828,14.657152615555557,2026-06-12 20:50:38.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:39.499111,-246610.84331676635,19.82587325968431,27.532667147790733,1363.558909495997,14.657152615555557,2026-06-12 20:50:39.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:40.499111,-246852.7760093193,19.66928809122835,27.523330943726727,1369.9492672836234,14.657152615555557,2026-06-12 20:50:40.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:41.499111,-247091.0551323218,19.51387346758234,27.51413733211952,1376.3458436660892,14.657152615555557,2026-06-12 20:50:41.499111
